Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Repetidos,41,110,7056
Casi Idéntico,41,5,196
Transposicion,41,76,7056
Aleatorio,42,88,7396
Palindromo,42,89,7396
Repetidos,42,118,7396
Casi Idéntico,42,4,196
Transposicion,42,81,7396
Aleatorio,43,87,7744
Palindromo,43,83,7744
Repetidos,43,126,7744
Casi Idéntico,43,5,196
Transposicion,43,86,7744
Aleatorio,44,93,8100
Palindromo,44,91,8100
Repetidos,44,129,8100
Casi Idéntico,44,4,196
Transposicion,44,89,8100
Aleatorio,45,98,8464
Palindromo,45,93,8464
Repetidos,45,163,8464
Casi Idéntico,45,3,196
Transposicion,45,90,8464
Aleatorio,46,107,8836
Palindromo,46,100,8836
Repetidos,46,176,8836
Casi Idéntico,46,3,196
Transposicion,46,131,8836
Aleatorio,47,104,9216
Palindromo,47,102,9216
Repetidos,47,175,9216
Casi Idéntico,47,3,196
Transposicion,47,96,9216
Aleatorio,48,103,9604
Palindromo,48,111,9604
Repetidos,48,144,9604
Casi Idéntico,48,4,196
Transposicion,48,100,9604
Aleatorio,49,106,10000
Palindromo,49,114,10000
Repetidos,49,166,10000
Casi Idéntico,49,5,196
Transposicion,49,106,10000
Aleatorio,50,117,10404
Palindromo,50,112,10404
Repetidos,50,173,10404
Casi Idéntico,50,8,196
Transposicion,50,106,10404
Aleatorio,51,115,10816
Palindromo,51,118,10816
Repetidos,51,167,10816
Casi Idéntico,51,3,196
Transposicion,51,114,10816
Aleatorio,52,124,11236
Palindromo,52,120,11236
Repetidos,52,184,11236
Casi Idéntico,52,8,196
Transposicion,52,118,11236
Aleatorio,53,126,11664
Palindromo,53,126,11664
Repetidos,53,182,11664
Casi Idéntico,53,8,196
Transposicion,53,120,11664
Aleatorio,54,134,12100
Palindromo,54,201,12100
Repetidos,54,188,12100
Casi Idéntico,54,3,196
Transposicion,54,127,12100
Aleatorio,55,135,12544
Palindromo,55,124,12544
Repetidos,55,187,12544
Casi Idéntico,55,3,196
Transposicion,55,119,12544
Aleatorio,56,128,12996
Palindromo,56,128,12996
Repetidos,56,197,12996
Casi Idéntico,56,3,196
Transposicion,56,123,12996
Aleatorio,57,133,13456
Palindromo,57,133,13456
Repetidos,57,191,13456
Casi Idéntico,57,4,196
Transposicion,57,130,13456
Aleatorio,58,147,13924
Palindromo,58,181,13924
Repetidos,58,209,13924
Casi Idéntico,58,3,196
Transposicion,58,154,13924
Aleatorio,59,161,14400
Palindromo,59,143,14400
Repetidos,59,206,14400
Casi Idéntico,59,3,196
Transposicion,59,136,14400
Aleatorio,60,140,14884
Palindromo,60,147,14884
Repetidos,60,210,14884
Casi Idéntico,60,2,196
Transposicion,60,139,14884
Aleatorio,61,148,15376
Palindromo,61,154,15376
Repetidos,61,219,15376
Casi Idéntico,61,4,196
Transposicion,61,147,15376
Aleatorio,62,166,15876
Palindromo,62,164,15876
Repetidos,62,271,15876
Casi Idéntico,62,3,196
Transposicion,62,179,15876
Aleatorio,63,194,16384
Palindromo,63,165,16384
Repetidos,63,279,16384
Casi Idéntico,63,3,196
Transposicion,63,156,16384
Aleatorio,64,165,16900
Palindromo,64,167,16900
Repetidos,64,247,16900
Casi Idéntico,64,3,196
Transposicion,64,158,16900
Aleatorio,65,167,17424
Palindromo,65,165,17424
Repetidos,65,271,17424
Casi Idéntico,65,4,196
Transposicion,65,202,17424
Aleatorio,66,205,17956
Palindromo,66,223,17956
Repetidos,66,272,17956
Casi Idéntico,66,5,196
Transposicion,66,191,17956
Aleatorio,67,219,18496
Palindromo,67,295,18496
Repetidos,67,273,18496
Casi Idéntico,67,3,196
Transposicion,67,179,18496
Aleatorio,68,194,19044
Palindromo,68,190,19044
Repetidos,68,277,19044
Casi Idéntico,68,3,196
Transposicion,68,183,19044
Aleatorio,69,190,19600
Palindromo,69,193,19600
Repetidos,69,281,19600
Casi Idéntico,69,3,196
Transposicion,69,201,19600
Aleatorio,70,215,20164
Palindromo,70,208,20164
Repetidos,70,302,20164
Casi Idéntico,70,7,196
Transposicion,70,221,20164
Aleatorio,71,199,20736
Palindromo,71,201,20736
Repetidos,71,293,20736
Casi Idéntico,71,2,196
Transposicion,71,199,20736
Aleatorio,72,202,21316
Palindromo,72,208,21316
Repetidos,72,316,21316
Casi Idéntico,72,2,196
Transposicion,72,199,21316
Aleatorio,73,214,21904
Palindromo,73,209,21904
Repetidos,73,453,21904
Casi Idéntico,73,4,196
Transposicion,73,218,21904
Aleatorio,74,232,22500
Palindromo,74,253,22500
Repetidos,74,350,22500
Casi Idéntico,74,5,196
Transposicion,74,236,22500
Aleatorio,75,247,23104
Palindromo,75,249,23104
Repetidos,75,370,23104
Casi Idéntico,75,3,196
Transposicion,75,236,23104
Aleatorio,76,242,23716
Palindromo,76,252,23716
Repetidos,76,362,23716
Casi Idéntico,76,3,196
Transposicion,76,529,23716
