Caso,Tamaño,TiempoDP (µs),MemoriaTotal (bytes)
Casi Idéntico,201,10,196
Transposicion,201,2034,163216
Aleatorio,202,2078,164836
Palindromo,202,2097,164836
Repetidos,202,2750,164836
Casi Idéntico,202,8,196
Transposicion,202,1817,164836
Aleatorio,203,1879,166464
Palindromo,203,1902,166464
Repetidos,203,3068,166464
Casi Idéntico,203,6,196
Transposicion,203,1780,166464
Aleatorio,204,1885,168100
Palindromo,204,1862,168100
Repetidos,204,2720,168100
Casi Idéntico,204,5,196
Transposicion,204,1854,168100
Aleatorio,205,1937,169744
Palindromo,205,1905,169744
Repetidos,205,2884,169744
Casi Idéntico,205,6,196
Transposicion,205,2115,169744
Aleatorio,206,2048,171396
Palindromo,206,1982,171396
Repetidos,206,2955,171396
Casi Idéntico,206,6,196
Transposicion,206,1954,171396
Aleatorio,207,2406,173056
Palindromo,207,2013,173056
Repetidos,207,2936,173056
Casi Idéntico,207,5,196
Transposicion,207,1926,173056
Aleatorio,208,2069,174724
Palindromo,208,2147,174724
Repetidos,208,3191,174724
Casi Idéntico,208,4,196
Transposicion,208,1984,174724
Aleatorio,209,1996,176400
Palindromo,209,2105,176400
Repetidos,209,3305,176400
Casi Idéntico,209,5,196
Transposicion,209,1971,176400
Aleatorio,210,2120,178084
Palindromo,210,2027,178084
Repetidos,210,3206,178084
Casi Idéntico,210,5,196
Transposicion,210,2336,178084
Aleatorio,211,2047,179776
Palindromo,211,2283,179776
Repetidos,211,2657,179776
Casi Idéntico,211,9,196
Transposicion,211,1803,179776
Aleatorio,212,1858,181476
Palindromo,212,1991,181476
Repetidos,212,2715,181476
Casi Idéntico,212,4,196
Transposicion,212,1842,181476
Aleatorio,213,1886,183184
Palindromo,213,1984,183184
Repetidos,213,3114,183184
Casi Idéntico,213,5,196
Transposicion,213,1844,183184
Aleatorio,214,2000,184900
Palindromo,214,1955,184900
Repetidos,214,2896,184900
Casi Idéntico,214,6,196
Transposicion,214,2176,184900
Aleatorio,215,1953,186624
Palindromo,215,1900,186624
Repetidos,215,2913,186624
Casi Idéntico,215,5,196
Transposicion,215,1972,186624
Aleatorio,216,2410,188356
Palindromo,216,1942,188356
Repetidos,216,2996,188356
Casi Idéntico,216,4,196
Transposicion,216,1865,188356
Aleatorio,217,1991,190096
Palindromo,217,2385,190096
Repetidos,217,2877,190096
Casi Idéntico,217,7,196
Transposicion,217,1975,190096
Aleatorio,218,2017,191844
Palindromo,218,2225,191844
Repetidos,218,3039,191844
Casi Idéntico,218,6,196
Transposicion,218,1916,191844
Aleatorio,219,2031,193600
Palindromo,219,2038,193600
Repetidos,219,2843,193600
Casi Idéntico,219,7,196
Transposicion,219,1947,193600
Aleatorio,220,1874,195364
Palindromo,220,1831,195364
Repetidos,220,2874,195364
Casi Idéntico,220,5,196
Transposicion,220,1807,195364
Aleatorio,221,1941,197136
Palindromo,221,1908,197136
Repetidos,221,2907,197136
Casi Idéntico,221,5,196
Transposicion,221,2116,197136
Aleatorio,222,1975,198916
Palindromo,222,1944,198916
Repetidos,222,2936,198916
Casi Idéntico,222,7,196
Transposicion,222,1861,198916
Aleatorio,223,2041,200704
Palindromo,223,1982,200704
Repetidos,223,2725,200704
Casi Idéntico,223,3,196
Transposicion,223,1903,200704
Aleatorio,224,1991,202500
Palindromo,224,1849,202500
Repetidos,224,3244,202500
Casi Idéntico,224,5,196
Transposicion,224,1829,202500
Aleatorio,225,2066,204304
Palindromo,225,1965,204304
Repetidos,225,3097,204304
Casi Idéntico,225,4,196
Transposicion,225,1956,204304
Aleatorio,226,2017,206116
Palindromo,226,1861,206116
Repetidos,226,2943,206116
Casi Idéntico,226,4,196
Transposicion,226,1957,206116
Aleatorio,227,2053,207936
Palindromo,227,1971,207936
Repetidos,227,2852,207936
Casi Idéntico,227,3,196
Transposicion,227,1960,207936
Aleatorio,228,2034,209764
Palindromo,228,2253,209764
Repetidos,228,2986,209764
Casi Idéntico,228,6,196
Transposicion,228,1937,209764
Aleatorio,229,2178,211600
Palindromo,229,1963,211600
Repetidos,229,3332,211600
Casi Idéntico,229,6,196
Transposicion,229,1939,211600
Aleatorio,230,2099,213444
Palindromo,230,2095,213444
Repetidos,230,2997,213444
Casi Idéntico,230,4,196
Transposicion,230,1894,213444
Aleatorio,231,2008,215296
Palindromo,231,2049,215296
Repetidos,231,3068,215296
Casi Idéntico,231,8,196
Transposicion,231,2398,215296
Aleatorio,232,2098,217156
Palindromo,232,2082,217156
Repetidos,232,3085,217156
Casi Idéntico,232,5,196
Transposicion,232,1937,217156
Aleatorio,233,2456,219024
Palindromo,233,2008,219024
Repetidos,233,3087,219024
Casi Idéntico,233,4,196
Transposicion,233,1934,219024
Aleatorio,234,2126,220900
Palindromo,234,2671,220900
Repetidos,234,3260,220900
Casi Idéntico,234,5,196
Transposicion,234,2052,220900
Aleatorio,235,2109,222784
Palindromo,235,2115,222784
Repetidos,235,3281,222784
Casi Idéntico,235,6,196
Transposicion,235,2014,222784
Aleatorio,236,2193,224676
Palindromo,236,2106,224676
Repetidos,236,3691,224676
Casi Idéntico,236,7,196
Transposicion,236,2102,224676
Aleatorio,237,2202,226576
Palindromo,237,2149,226576
Repetidos,237,2921,226576
Casi Idéntico,237,5,196
Transposicion,237,2172,226576
Aleatorio,238,2193,228484
Palindromo,238,2186,228484
Repetidos,238,3200,228484
Casi Idéntico,238,5,196
Transposicion,238,2038,228484
Aleatorio,239,2158,230400
Palindromo,239,2179,230400
Repetidos,239,3416,230400
Casi Idéntico,239,8,196
Transposicion,239,2133,230400
Aleatorio,240,2391,232324
Palindromo,240,2191,232324
Repetidos,240,3279,232324
Casi Idéntico,240,5,196
Transposicion,240,2124,232324
Aleatorio,241,2198,234256
Palindromo,241,2098,234256
Repetidos,241,3363,234256
Casi Idéntico,241,3,196
Transposicion,241,2049,234256
Aleatorio,242,2252,236196
Palindromo,242,2478,236196
Repetidos,242,3252,236196
Casi Idéntico,242,5,196
Transposicion,242,2136,236196
Aleatorio,243,2239,238144
Palindromo,243,2312,238144
Repetidos,243,3873,238144
Casi Idéntico,243,4,196
Transposicion,243,2130,238144
Aleatorio,244,2236,240100
Palindromo,244,2314,240100
Repetidos,244,3553,240100
Casi Idéntico,244,5,196
Transposicion,244,2244,240100
Aleatorio,245,2457,242064
Palindromo,245,2309,242064
Repetidos,245,3488,242064
Casi Idéntico,245,5,196
Transposicion,245,2521,242064
Aleatorio,246,2223,244036
Palindromo,246,2482,244036
Repetidos,246,3565,244036
Casi Idéntico,246,16,196
Transposicion,246,3100,244036
Aleatorio,247,2441,246016
Palindromo,247,2337,246016
Repetidos,247,3668,246016
Casi Idéntico,247,5,196
Transposicion,247,2698,246016
Aleatorio,248,2480,248004
Palindromo,248,2535,248004
Repetidos,248,3487,248004
Casi Idéntico,248,6,196
Transposicion,248,2416,248004
Aleatorio,249,2328,250000
Palindromo,249,2389,250000
Repetidos,249,3454,250000
Casi Idéntico,249,6,196
Transposicion,249,2420,250000
Aleatorio,250,2527,252004
Palindromo,250,2395,252004
Repetidos,250,3471,252004
Casi Idéntico,250,6,196
Transposicion,250,2575,252004
Aleatorio,251,2554,254016
Palindromo,251,2610,254016
Repetidos,251,3841,254016
Casi Idéntico,251,5,196
Transposicion,251,2928,254016
Aleatorio,252,2449,256036
Palindromo,252,2437,256036
Repetidos,252,3383,256036
Casi Idéntico,252,5,196
Transposicion,252,2445,256036
Aleatorio,253,2430,258064
Palindromo,253,2408,258064
Repetidos,253,3559,258064
Casi Idéntico,253,3,196
Transposicion,253,2399,258064
Aleatorio,254,2730,260100
Palindromo,254,2512,260100
Repetidos,254,3697,260100
Casi Idéntico,254,4,196
Transposicion,254,2377,260100
Aleatorio,255,2615,262144
Palindromo,255,2568,262144
Repetidos,255,3882,262144
Casi Idéntico,255,3,196
Transposicion,255,2406,262144
Aleatorio,256,2591,264196
Palindromo,256,2507,264196
Repetidos,256,3735,264196
Casi Idéntico,256,3,196
Transposicion,256,2440,264196
Aleatorio,257,2526,266256
Palindromo,257,2963,266256
Repetidos,257,3720,266256
Casi Idéntico,257,3,196
Transposicion,257,2403,266256
Aleatorio,258,2540,268324
Palindromo,258,2680,268324
Repetidos,258,4023,268324
Casi Idéntico,258,4,196
Transposicion,258,2416,268324
Aleatorio,259,2576,270400
Palindromo,259,2649,270400
Repetidos,259,4068,270400
Casi Idéntico,259,5,196
Transposicion,259,2583,270400
Aleatorio,260,2574,272484
Palindromo,260,3005,272484
Repetidos,260,3997,272484
Casi Idéntico,260,7,196
Transposicion,260,2429,272484
Aleatorio,261,2488,274576
Palindromo,261,2502,274576
Repetidos,261,3832,274576
Casi Idéntico,261,13,196
Transposicion,261,2563,274576
Aleatorio,262,2547,276676
Palindromo,262,2729,276676
Repetidos,262,3910,276676
Casi Idéntico,262,8,196
Transposicion,262,2521,276676
Aleatorio,263,2558,278784
Palindromo,263,2614,278784
Repetidos,263,3784,278784
Casi Idéntico,263,5,196
Transposicion,263,2578,278784
Aleatorio,264,2644,280900
Palindromo,264,2710,280900
Repetidos,264,3768,280900
Casi Idéntico,264,6,196
Transposicion,264,2503,280900
Aleatorio,265,2802,283024
Palindromo,265,3051,283024
Repetidos,265,4031,283024
Casi Idéntico,265,4,196
Transposicion,265,2612,283024
Aleatorio,266,2717,285156
Palindromo,266,3203,285156
Repetidos,266,3829,285156
Casi Idéntico,266,7,196
Transposicion,266,2757,285156
Aleatorio,267,2746,287296
Palindromo,267,3058,287296
Repetidos,267,4099,287296
Casi Idéntico,267,3,196
Transposicion,267,2639,287296
Aleatorio,268,2735,289444
Palindromo,268,3129,289444
Repetidos,268,4072,289444
Casi Idéntico,268,5,196
Transposicion,268,2585,289444
Aleatorio,269,2755,291600
Palindromo,269,2999,291600
Repetidos,269,4224,291600
Casi Idéntico,269,3,196
Transposicion,269,2735,291600
Aleatorio,270,2871,293764
Palindromo,270,3175,293764
Repetidos,270,4262,293764
Casi Idéntico,270,5,196
Transposicion,270,2707,293764
Aleatorio,271,2781,295936
Palindromo,271,3035,295936
Repetidos,271,4298,295936
Casi Idéntico,271,4,196
Transposicion,271,2777,295936
Aleatorio,272,2862,298116
Palindromo,272,2860,298116
Repetidos,272,4184,298116
Casi Idéntico,272,5,196
Transposicion,272,2711,298116
Aleatorio,273,3316,300304
Palindromo,273,2923,300304
Repetidos,273,4032,300304
Casi Idéntico,273,4,196
Transposicion,273,2718,300304
Aleatorio,274,3440,302500
Palindromo,274,2845,302500
Repetidos,274,4306,302500
Casi Idéntico,274,6,196
Transposicion,274,2752,302500
Aleatorio,275,3362,304704
Palindromo,275,2935,304704
Repetidos,275,4463,304704
Casi Idéntico,275,5,196
Transposicion,275,3123,304704
Aleatorio,276,2942,306916
Palindromo,276,2930,306916
Repetidos,276,4418,306916
Casi Idéntico,276,5,196
Transposicion,276,2917,306916
Aleatorio,277,3027,309136
Palindromo,277,2829,309136
Repetidos,277,4690,309136
Casi Idéntico,277,24,196
Transposicion,277,3020,309136
Aleatorio,278,2997,311364
Palindromo,278,3023,311364
Repetidos,278,4705,311364
Casi Idéntico,278,6,196
Transposicion,278,3003,311364
Aleatorio,279,2942,313600
Palindromo,279,2958,313600
Repetidos,279,4579,313600
Casi Idéntico,279,5,196
Transposicion,279,2822,313600
Aleatorio,280,2926,315844
Palindromo,280,3206,315844
Repetidos,280,4406,315844
Casi Idéntico,280,5,196
Transposicion,280,2919,315844
Aleatorio,281,2947,318096
Palindromo,281,3300,318096
Repetidos,281,4768,318096
Casi Idéntico,281,3,196
Transposicion,281,2899,318096
Aleatorio,282,2957,320356
Palindromo,282,4655,320356
Repetidos,282,4738,320356
Casi Idéntico,282,4,196
Transposicion,282,2919,320356
Aleatorio,283,3261,322624
Palindromo,283,3059,322624
Repetidos,283,4607,322624
Casi Idéntico,283,3,196
Transposicion,283,3115,322624
Aleatorio,284,3077,324900
Palindromo,284,3088,324900
Repetidos,284,4485,324900
Casi Idéntico,284,5,196
Transposicion,284,3233,324900
Aleatorio,285,3073,327184
Palindromo,285,3189,327184
Repetidos,285,4684,327184
Casi Idéntico,285,4,196
Transposicion,285,3185,327184
Aleatorio,286,3223,329476
Palindromo,286,3187,329476
Repetidos,286,5055,329476
Casi Idéntico,286,7,196
Transposicion,286,3120,329476
Aleatorio,287,3156,331776
Palindromo,287,3240,331776
Repetidos,287,5114,331776
Casi Idéntico,287,5,196
Transposicion,287,3112,331776
Aleatorio,288,3231,334084
Palindromo,288,3639,334084
Repetidos,288,4476,334084
Casi Idéntico,288,6,196
Transposicion,288,3084,334084
Aleatorio,289,3238,336400
Palindromo,289,3227,336400
Repetidos,289,4854,336400
Casi Idéntico,289,6,196
Transposicion,289,3024,336400
Aleatorio,290,3693,338724
Palindromo,290,3226,338724
Repetidos,290,5026,338724
Casi Idéntico,290,6,196
Transposicion,290,3489,338724
Aleatorio,291,3352,341056
Palindromo,291,3277,341056
Repetidos,291,5224,341056
Casi Idéntico,291,4,196
Transposicion,291,3208,341056
Aleatorio,292,3465,343396
Palindromo,292,3370,343396
Repetidos,292,4719,343396
Casi Idéntico,292,5,196
Transposicion,292,3186,343396
Aleatorio,293,3161,345744
Palindromo,293,3720,345744
Repetidos,293,4864,345744
Casi Idéntico,293,4,196
Transposicion,293,3257,345744
Aleatorio,294,3648,348100
Palindromo,294,3325,348100
Repetidos,294,4906,348100
Casi Idéntico,294,4,196
Transposicion,294,3778,348100
Aleatorio,295,3253,350464
Palindromo,295,3467,350464
Repetidos,295,4933,350464
Casi Idéntico,295,4,196
Transposicion,295,3274,350464
Aleatorio,296,3234,352836
Palindromo,296,3365,352836
Repetidos,296,5451,352836
Casi Idéntico,296,4,196
Transposicion,296,3344,352836
Aleatorio,297,3384,355216
Palindromo,297,3363,355216
Repetidos,297,5292,355216
Casi Idéntico,297,5,196
Transposicion,297,3406,355216
Aleatorio,298,3337,357604
Palindromo,298,3752,357604
Repetidos,298,4905,357604
Casi Idéntico,298,6,196
Transposicion,298,3316,357604
Aleatorio,299,3730,360000
Palindromo,299,3657,360000
Repetidos,299,4775,360000
Casi Idéntico,299,6,196
Transposicion,299,3498,360000
Aleatorio,300,3669,362404
Palindromo,300,3523,362404
Repetidos,300,5795,362404
Casi Idéntico,300,8,196
Transposicion,300,3498,362404
Aleatorio,301,3447,364816
Palindromo,301,3678,364816
Repetidos,301,5620,364816
Casi Idéntico,301,5,196
Transposicion,301,3378,364816
Aleatorio,302,3542,367236
Palindromo,302,3523,367236
Repetidos,302,4968,367236
Casi Idéntico,302,5,196
Transposicion,302,3413,367236
Aleatorio,303,3473,369664
Palindromo,303,3522,369664
Repetidos,303,5407,369664
Casi Idéntico,303,5,196
Transposicion,303,3370,369664
Aleatorio,304,3496,372100
Palindromo,304,3574,372100
Repetidos,304,4925,372100
Casi Idéntico,304,3,196
Transposicion,304,3353,372100
Aleatorio,305,3538,374544
Palindromo,305,3569,374544
Repetidos,305,5323,374544
Casi Idéntico,305,3,196
Transposicion,305,3386,374544
Aleatorio,306,3651,376996
Palindromo,306,3642,376996
Repetidos,306,5821,376996
Casi Idéntico,306,3,196
Transposicion,306,3458,376996
Aleatorio,307,3470,379456
Palindromo,307,3645,379456
Repetidos,307,6176,379456
Casi Idéntico,307,4,196
Transposicion,307,3469,379456
Aleatorio,308,3669,381924
Palindromo,308,4265,381924
Repetidos,308,5501,381924
Casi Idéntico,308,5,196
Transposicion,308,3507,381924
Aleatorio,309,4013,384400
Palindromo,309,3720,384400
Repetidos,309,5324,384400
Casi Idéntico,309,5,196
Transposicion,309,3722,384400
Aleatorio,310,3904,386884
Palindromo,310,3926,386884
Repetidos,310,5579,386884
Casi Idéntico,310,6,196
Transposicion,310,3571,386884
Aleatorio,311,3970,389376
Palindromo,311,3823,389376
Repetidos,311,4927,389376
Casi Idéntico,311,5,196
Transposicion,311,3605,389376
Aleatorio,312,3972,391876
Palindromo,312,3736,391876
Repetidos,312,5277,391876
Casi Idéntico,312,6,196
Transposicion,312,4007,391876
Aleatorio,313,3696,394384
Palindromo,313,3750,394384
Repetidos,313,6067,394384
Casi Idéntico,313,5,196
Transposicion,313,3540,394384
Aleatorio,314,3858,396900
Palindromo,314,4213,396900
Repetidos,314,5317,396900
Casi Idéntico,314,5,196
Transposicion,314,3650,396900
Aleatorio,315,4028,399424
Palindromo,315,3835,399424
Repetidos,315,5654,399424
Casi Idéntico,315,12,196
Transposicion,315,3649,399424
Aleatorio,316,3815,401956
Palindromo,316,3770,401956
Repetidos,316,5604,401956
Casi Idéntico,316,4,196
Transposicion,316,3523,401956
Aleatorio,317,3729,404496
Palindromo,317,3785,404496
Repetidos,317,5759,404496
Casi Idéntico,317,5,196
Transposicion,317,3637,404496
Aleatorio,318,4117,407044
Palindromo,318,3851,407044
Repetidos,318,5802,407044
Casi Idéntico,318,4,196
Transposicion,318,3533,407044
Aleatorio,319,3881,409600
Palindromo,319,3895,409600
Repetidos,319,5882,409600
Casi Idéntico,319,5,196
Transposicion,319,3623,409600
Aleatorio,320,4336,412164
Palindromo,320,3926,412164
Repetidos,320,6039,412164
Casi Idéntico,320,3,196
Transposicion,320,4057,412164
Aleatorio,321,4212,414736
Palindromo,321,4175,414736
Repetidos,321,6334,414736
Casi Idéntico,321,5,196
Transposicion,321,3769,414736
Aleatorio,322,3835,417316
Palindromo,322,4145,417316
Repetidos,322,6041,417316
Casi Idéntico,322,6,196
Transposicion,322,3907,417316
Aleatorio,323,4083,419904
Palindromo,323,4000,419904
Repetidos,323,5665,419904
Casi Idéntico,323,8,196
Transposicion,323,3814,419904
Aleatorio,324,3983,422500
Palindromo,324,3954,422500
Repetidos,324,5913,422500
Casi Idéntico,324,3,196
Transposicion,324,3835,422500
Aleatorio,325,4359,425104
Palindromo,325,3995,425104
Repetidos,325,6134,425104
Casi Idéntico,325,3,196
Transposicion,325,3915,425104
Aleatorio,326,4237,427716
Palindromo,326,4092,427716
Repetidos,326,6235,427716
Casi Idéntico,326,5,196
Transposicion,326,3885,427716
Aleatorio,327,4041,430336
Palindromo,327,4270,430336
Repetidos,327,6265,430336
Casi Idéntico,327,3,196
Transposicion,327,3874,430336
Aleatorio,328,4407,432964
Palindromo,328,3992,432964
Repetidos,328,6030,432964
Casi Idéntico,328,3,196
Transposicion,328,3926,432964
Aleatorio,329,4411,435600
Palindromo,329,4208,435600
Repetidos,329,6513,435600
Casi Idéntico,329,8,196
Transposicion,329,3980,435600
Aleatorio,330,4614,438244
Palindromo,330,4326,438244
Repetidos,330,5738,438244
Casi Idéntico,330,6,196
Transposicion,330,4103,438244
Aleatorio,331,4257,440896
Palindromo,331,4401,440896
Repetidos,331,6043,440896
Casi Idéntico,331,5,196
Transposicion,331,3823,440896
Aleatorio,332,4489,443556
Palindromo,332,4260,443556
Repetidos,332,6146,443556
Casi Idéntico,332,5,196
Transposicion,332,4157,443556
Aleatorio,333,4256,446224
Palindromo,333,4229,446224
Repetidos,333,6529,446224
Casi Idéntico,333,5,196
Transposicion,333,4064,446224
Aleatorio,334,4504,448900
Palindromo,334,4254,448900
Repetidos,334,6344,448900
Casi Idéntico,334,4,196
Transposicion,334,4356,448900
Aleatorio,335,4273,451584
Palindromo,335,4455,451584
Repetidos,335,6506,451584
Casi Idéntico,335,3,196
Transposicion,335,4101,451584
Aleatorio,336,4357,454276
Palindromo,336,4438,454276
Repetidos,336,6376,454276
Casi Idéntico,336,3,196
Transposicion,336,4322,454276
Aleatorio,337,4421,456976
Palindromo,337,4387,456976
Repetidos,337,7333,456976
Casi Idéntico,337,5,196
Transposicion,337,4175,456976
Aleatorio,338,4591,459684
Palindromo,338,4834,459684
Repetidos,338,6459,459684
Casi Idéntico,338,4,196
Transposicion,338,4621,459684
Aleatorio,339,4467,462400
Palindromo,339,4291,462400
Repetidos,339,6748,462400
Casi Idéntico,339,7,196
Transposicion,339,4039,462400
Aleatorio,340,4776,465124
Palindromo,340,4564,465124
Repetidos,340,6375,465124
Casi Idéntico,340,5,196
Transposicion,340,6118,465124
Aleatorio,341,4345,467856
Palindromo,341,4882,467856
Repetidos,341,6818,467856
Casi Idéntico,341,7,196
Transposicion,341,4282,467856
Aleatorio,342,4837,470596
Palindromo,342,4438,470596
Repetidos,342,6774,470596
Casi Idéntico,342,5,196
Transposicion,342,4143,470596
Aleatorio,343,4429,473344
Palindromo,343,4436,473344
Repetidos,343,6327,473344
Casi Idéntico,343,6,196
Transposicion,343,4262,473344
Aleatorio,344,4373,476100
Palindromo,344,4491,476100
Repetidos,344,7161,476100
Casi Idéntico,344,4,196
Transposicion,344,4288,476100
Aleatorio,345,4533,478864
Palindromo,345,4841,478864
Repetidos,345,6739,478864
Casi Idéntico,345,5,196
Transposicion,345,4574,478864
Aleatorio,346,4730,481636
Palindromo,346,4626,481636
Repetidos,346,7096,481636
Casi Idéntico,346,4,196
Transposicion,346,4641,481636
Aleatorio,347,4769,484416
Palindromo,347,5013,484416
Repetidos,347,7263,484416
Casi Idéntico,347,6,196
Transposicion,347,4776,484416
Aleatorio,348,4972,487204
Palindromo,348,4874,487204
Repetidos,348,7361,487204
Casi Idéntico,348,6,196
Transposicion,348,4686,487204
Aleatorio,349,4890,490000
Palindromo,349,4562,490000
Repetidos,349,6824,490000
Casi Idéntico,349,9,196
Transposicion,349,4223,490000
Aleatorio,350,4522,492804
Palindromo,350,5046,492804
Repetidos,350,6638,492804
Casi Idéntico,350,5,196
Transposicion,350,4166,492804
Aleatorio,351,4592,495616
Palindromo,351,4590,495616
Repetidos,351,7351,495616
Casi Idéntico,351,7,196
Transposicion,351,4578,495616
Aleatorio,352,4996,498436
Palindromo,352,5121,498436
Repetidos,352,7138,498436
Casi Idéntico,352,5,196
Transposicion,352,4684,498436
Aleatorio,353,4717,501264
Palindromo,353,5038,501264
Repetidos,353,6817,501264
Casi Idéntico,353,4,196
Transposicion,353,4614,501264
Aleatorio,354,4517,504100
Palindromo,354,4717,504100
Repetidos,354,7682,504100
Casi Idéntico,354,5,196
Transposicion,354,4579,504100
Aleatorio,355,4792,506944
Palindromo,355,4720,506944
Repetidos,355,7238,506944
Casi Idéntico,355,6,196
Transposicion,355,5237,506944
Aleatorio,356,4974,509796
Palindromo,356,5093,509796
Repetidos,356,7129,509796
Casi Idéntico,356,7,196
Transposicion,356,4826,509796
Aleatorio,357,4718,512656
Palindromo,357,4561,512656
Repetidos,357,7435,512656
Casi Idéntico,357,8,196
Transposicion,357,4572,512656
Aleatorio,358,5064,515524
Palindromo,358,5121,515524
Repetidos,358,6986,515524
Casi Idéntico,358,6,196
Transposicion,358,4776,515524
Aleatorio,359,4765,518400
Palindromo,359,5054,518400
Repetidos,359,7325,518400
Casi Idéntico,359,7,196
Transposicion,359,5413,518400
Aleatorio,360,4937,521284
Palindromo,360,5000,521284
Repetidos,360,7077,521284
Casi Idéntico,360,6,196
Transposicion,360,4784,521284
Aleatorio,361,5021,524176
Palindromo,361,4908,524176
Repetidos,361,7824,524176
Casi Idéntico,361,5,196
Transposicion,361,4800,524176
Aleatorio,362,5128,527076
Palindromo,362,4850,527076
Repetidos,362,7602,527076
Casi Idéntico,362,4,196
Transposicion,362,4713,527076
Aleatorio,363,5045,529984
Palindromo,363,5131,529984
Repetidos,363,7563,529984
Casi Idéntico,363,6,196
Transposicion,363,4839,529984
Aleatorio,364,5229,532900
Palindromo,364,4801,532900
Repetidos,364,8067,532900
Casi Idéntico,364,6,196
Transposicion,364,4998,532900
Aleatorio,365,5194,535824
Palindromo,365,5073,535824
Repetidos,365,7877,535824
Casi Idéntico,365,6,196
Transposicion,365,4758,535824
Aleatorio,366,4974,538756
Palindromo,366,5109,538756
Repetidos,366,7322,538756
Casi Idéntico,366,6,196
Transposicion,366,5268,538756
Aleatorio,367,5233,541696
Palindromo,367,4955,541696
Repetidos,367,7054,541696
Casi Idéntico,367,7,196
Transposicion,367,5007,541696
Aleatorio,368,5091,544644
Palindromo,368,5115,544644
Repetidos,368,7603,544644
Casi Idéntico,368,18,196
Transposicion,368,5010,544644
Aleatorio,369,5609,547600
Palindromo,369,5180,547600
Repetidos,369,7199,547600
Casi Idéntico,369,5,196
Transposicion,369,4906,547600
Aleatorio,370,5102,550564
Palindromo,370,5411,550564
Repetidos,370,7877,550564
Casi Idéntico,370,4,196
Transposicion,370,5398,550564
Aleatorio,371,5335,553536
Palindromo,371,5415,553536
Repetidos,371,8658,553536
Casi Idéntico,371,7,196
Transposicion,371,4836,553536
Aleatorio,372,5753,556516
Palindromo,372,5388,556516
Repetidos,372,7855,556516
Casi Idéntico,372,6,196
Transposicion,372,4971,556516
Aleatorio,373,5454,559504
Palindromo,373,5167,559504
Repetidos,373,8640,559504
Casi Idéntico,373,6,196
Transposicion,373,4819,559504
Aleatorio,374,5140,562500
Palindromo,374,5497,562500
Repetidos,374,7349,562500
Casi Idéntico,374,6,196
Transposicion,374,5485,562500
Aleatorio,375,5078,565504
Palindromo,375,5507,565504
Repetidos,375,7963,565504
Casi Idéntico,375,6,196
Transposicion,375,5271,565504
Aleatorio,376,5021,568516
Palindromo,376,5331,568516
Repetidos,376,8195,568516
Casi Idéntico,376,4,196
Transposicion,376,4930,568516
Aleatorio,377,5683,571536
Palindromo,377,5411,571536
Repetidos,377,8238,571536
Casi Idéntico,377,5,196
Transposicion,377,4991,571536
Aleatorio,378,5442,574564
Palindromo,378,5749,574564
Repetidos,378,7942,574564
Casi Idéntico,378,3,196
Transposicion,378,5325,574564
Aleatorio,379,5541,577600
Palindromo,379,5925,577600
Repetidos,379,7858,577600
Casi Idéntico,379,7,196
Transposicion,379,5517,577600
Aleatorio,380,5886,580644
Palindromo,380,5817,580644
Repetidos,380,7808,580644
Casi Idéntico,380,5,196
Transposicion,380,5651,580644
Aleatorio,381,5516,583696
Palindromo,381,5038,583696
Repetidos,381,8288,583696
Casi Idéntico,381,9,196
Transposicion,381,5257,583696
Aleatorio,382,5621,586756
Palindromo,382,5292,586756
Repetidos,382,8546,586756
Casi Idéntico,382,6,196
Transposicion,382,5257,586756
Aleatorio,383,5850,589824
Palindromo,383,5513,589824
Repetidos,383,8612,589824
Casi Idéntico,383,6,196
Transposicion,383,5184,589824
Aleatorio,384,5489,592900
Palindromo,384,5678,592900
Repetidos,384,8590,592900
Casi Idéntico,384,5,196
Transposicion,384,5499,592900
Aleatorio,385,5662,595984
Palindromo,385,5853,595984
Repetidos,385,8486,595984
Casi Idéntico,385,5,196
Transposicion,385,5502,595984
Aleatorio,386,5606,599076
Palindromo,386,5660,599076
Repetidos,386,9296,599076
Casi Idéntico,386,5,196
Transposicion,386,5434,599076
Aleatorio,387,5559,602176
Palindromo,387,5493,602176
Repetidos,387,8222,602176
Casi Idéntico,387,7,196
Transposicion,387,5401,602176
Aleatorio,388,6044,605284
Palindromo,388,5642,605284
Repetidos,388,8790,605284
Casi Idéntico,388,6,196
Transposicion,388,5604,605284
Aleatorio,389,6364,608400
Palindromo,389,5676,608400
Repetidos,389,8893,608400
Casi Idéntico,389,8,196
Transposicion,389,5163,608400
Aleatorio,390,6475,611524
Palindromo,390,5752,611524
Repetidos,390,8718,611524
Casi Idéntico,390,6,196
Transposicion,390,5488,611524
Aleatorio,391,6119,614656
Palindromo,391,5537,614656
Repetidos,391,8635,614656
Casi Idéntico,391,7,196
Transposicion,391,5630,614656
Aleatorio,392,5501,617796
Palindromo,392,5831,617796
Repetidos,392,8807,617796
Casi Idéntico,392,4,196
Transposicion,392,5539,617796
Aleatorio,393,5503,620944
Palindromo,393,6107,620944
Repetidos,393,8116,620944
Casi Idéntico,393,7,196
Transposicion,393,5915,620944
Aleatorio,394,5580,624100
Palindromo,394,6150,624100
Repetidos,394,8675,624100
Casi Idéntico,394,6,196
Transposicion,394,5912,624100
Aleatorio,395,6150,627264
Palindromo,395,6380,627264
