Caso,Tamaño_m,Tamaño_n,TiempoFB (ns),Resultado FB,TiempoDP (ns),Resultado DP
Casi Identico,12,11,2523961100,17,19300,17
Casi Identico,12,12,5297348500,20,17400,20
Transposicion,0,0,0,0,1600,0
Transposicion,0,1,100,1,21500,1
Transposicion,0,2,100,2,800,2
Transposicion,0,3,100,3,800,3
Transposicion,0,4,0,4,700,4
Transposicion,0,5,100,5,700,5
Transposicion,0,6,100,6,800,6
Transposicion,0,7,100,7,700,7
Transposicion,0,8,0,8,800,8
Transposicion,0,9,0,9,700,9
Transposicion,0,10,100,10,10400,10
Transposicion,0,11,0,11,800,11
Transposicion,0,12,0,12,700,12
Transposicion,1,0,100,1,800,1
Transposicion,1,1,300,2,1100,2
Transposicion,1,2,200,3,900,3
Transposicion,1,3,200,4,1000,4
Transposicion,1,4,300,3,900,3
Transposicion,1,5,300,6,1000,6
Transposicion,1,6,400,5,1100,5
Transposicion,1,7,400,6,1000,6
Transposicion,1,8,300,9,1100,9
Transposicion,1,9,400,8,1100,8
Transposicion,1,10,400,9,1800,9
Transposicion,1,11,500,10,1200,10
Transposicion,1,12,500,11,1200,11
Transposicion,2,0,100,2,1300,2
Transposicion,2,1,300,3,1700,3
Transposicion,2,2,400,4,1400,4
Transposicion,2,3,700,3,1500,3
Transposicion,2,4,900,6,1300,6
Transposicion,2,5,1200,7,1500,7
Transposicion,2,6,1700,8,1500,8
Transposicion,2,7,2200,9,1600,9
Transposicion,2,8,2700,10,1700,10
Transposicion,2,9,3200,11,1700,11
Transposicion,2,10,4100,10,1900,10
Transposicion,2,11,5000,9,2000,9
Transposicion,2,12,5600,14,1900,14
Transposicion,3,0,100,3,1100,3
Transposicion,3,1,300,4,1300,4
Transposicion,3,2,700,5,1400,5
Transposicion,3,3,1400,6,1500,6
Transposicion,3,4,2600,5,1600,5
Transposicion,3,5,4400,8,1700,8
Transposicion,3,6,33100,7,3500,7
Transposicion,3,7,11300,8,3300,8
Transposicion,3,8,20100,11,2500,11
Transposicion,3,9,23300,12,2500,12
Transposicion,3,10,28600,9,4100,9
Transposicion,3,11,38800,12,3200,12
Transposicion,3,12,75400,13,3200,13
Transposicion,4,0,0,4,1300,4
Transposicion,4,1,300,5,1400,5
Transposicion,4,2,1000,6,1700,6
Transposicion,4,3,2700,5,1800,5
Transposicion,4,4,6400,8,2000,8
Transposicion,4,5,12800,7,2100,7
Transposicion,4,6,27200,6,2700,6
Transposicion,4,7,70500,11,2900,11
Transposicion,4,8,67300,10,2700,10
Transposicion,4,9,99900,11,3400,11
Transposicion,4,10,159700,12,3400,12
Transposicion,4,11,360300,13,6100,13
Transposicion,4,12,289400,14,4400,14
Transposicion,5,0,100,5,1600,5
Transposicion,5,1,400,4,1800,4
Transposicion,5,2,17600,5,3100,5
Transposicion,5,3,4700,8,2300,8
Transposicion,5,4,12500,7,2300,7
Transposicion,5,5,31000,8,2300,8
Transposicion,5,6,60300,5,2700,5
Transposicion,5,7,130000,10,2700,10
Transposicion,5,8,256500,11,3300,11
Transposicion,5,9,377000,14,3200,14
Transposicion,5,10,658600,11,4200,11
Transposicion,5,11,1005400,14,3800,14
Transposicion,5,12,1724100,13,4900,13
Transposicion,6,0,0,6,1700,6
Transposicion,6,1,13200,7,11400,7
Transposicion,6,2,1900,8,2100,8
Transposicion,6,3,7100,7,2200,7
Transposicion,6,4,54800,8,2700,8
Transposicion,6,5,85000,9,3100,9
Transposicion,6,6,183200,12,3200,12
Transposicion,6,7,353600,11,3100,11
Transposicion,6,8,728500,12,3400,12
Transposicion,6,9,1312400,13,3700,13
Transposicion,6,10,2414600,14,6000,14
Transposicion,6,11,4039100,13,7800,13
Transposicion,6,12,6774600,14,7400,14
Transposicion,7,0,0,7,1700,7
Transposicion,7,1,500,8,2100,8
Transposicion,7,2,2300,9,2200,9
Transposicion,7,3,12000,10,3700,10
Transposicion,7,4,45000,9,3300,9
Transposicion,7,5,161200,10,4800,10
Transposicion,7,6,364100,13,3400,13
Transposicion,7,7,888000,12,3600,12
Transposicion,7,8,1900800,13,5000,13
Transposicion,7,9,3895800,12,4400,12
Transposicion,7,10,7900800,11,6900,11
Transposicion,7,11,14735300,18,7600,18
Transposicion,7,12,26430200,17,7800,17
Transposicion,8,0,100,8,2900,8
Transposicion,8,1,600,9,27600,9
Transposicion,8,2,21200,10,2800,10
Transposicion,8,3,40300,11,3800,11
Transposicion,8,4,76900,10,3600,10
Transposicion,8,5,231700,11,4200,11
Transposicion,8,6,757100,12,5300,12
Transposicion,8,7,1940700,11,4500,11
Transposicion,8,8,5170300,14,6200,14
Transposicion,8,9,11576000,15,6500,15
Transposicion,8,10,25909300,16,12900,16
Transposicion,8,11,48497400,13,11700,13
Transposicion,8,12,83716800,16,13200,16
Transposicion,9,0,100,9,3000,9
Transposicion,9,1,600,10,3300,10
Transposicion,9,2,4200,9,3900,9
Transposicion,9,3,23400,12,4100,12
Transposicion,9,4,111900,13,4500,13
Transposicion,9,5,423800,12,5200,12
Transposicion,9,6,1564600,9,5900,9
Transposicion,9,7,4094500,13,7000,13
Transposicion,9,8,11338400,15,6300,15
Transposicion,9,9,27266000,16,8200,16
Transposicion,9,10,60161800,15,13000,15
Transposicion,9,11,128821300,16,16100,16
Transposicion,9,12,280946400,19,19300,19
Transposicion,10,0,100,10,4400,10
Transposicion,10,1,1000,9,5500,9
Transposicion,10,2,6600,12,5700,12
Transposicion,10,3,42500,11,6200,11
Transposicion,10,4,230100,10,6900,10
Transposicion,10,5,999400,15,7600,15
Transposicion,10,6,3741000,11,9400,11
Transposicion,10,7,11403000,15,9600,15
Transposicion,10,8,32060300,16,10300,16
Transposicion,10,9,83887200,17,12400,17
Transposicion,10,10,196646700,18,15900,18
Transposicion,10,11,423915900,19,17800,19
Transposicion,10,12,947427300,17,19400,17
Transposicion,11,0,200,11,4300,11
Transposicion,11,1,1000,12,4000,12
Transposicion,11,2,7800,11,6700,11
Transposicion,11,3,55200,12,5000,12
Transposicion,11,4,348000,13,6900,13
Transposicion,11,5,1630900,14,7000,14
Transposicion,11,6,6005100,15,10100,15
Transposicion,11,7,20494000,13,9700,13
Transposicion,11,8,66069500,17,12000,17
Transposicion,11,9,181418700,14,18100,14
Transposicion,11,10,415930700,17,17700,17
Transposicion,11,11,845251400,18,16600,18
Transposicion,11,12,1892227300,17,14600,17
Transposicion,12,0,100,12,2800,12
Transposicion,12,1,800,11,3200,11
Transposicion,12,2,6400,14,3900,14
Transposicion,12,3,50200,11,4500,11
Transposicion,12,4,336900,14,4900,14
Transposicion,12,5,1616500,15,5700,15
Transposicion,12,6,6782100,14,6600,14
Transposicion,12,7,25258900,17,7300,17
Transposicion,12,8,85502600,18,9800,18
Transposicion,12,9,271366800,17,14900,17
Transposicion,12,10,737519800,18,15100,18
Transposicion,12,11,2164344700,19,19300,19
Transposicion,12,12,4598738100,16,17500,16
